,Building 1,Building 2,Temperature
2015-01-01 00:00:00-06:00,0.35,224.91,3.22
2015-01-01 00:30:00-06:00,0.31,218.02,3.28
2015-01-01 01:00:00-06:00,0.32,201.75,3.33
2015-01-01 01:30:00-06:00,0.51,213.11,3.24
2015-01-01 02:00:00-06:00,0.62,203.90,3.14
2015-01-01 02:30:00-06:00,0.55,192.79,2.92
2015-01-01 03:00:00-06:00,0.26,193.71,2.69
2015-01-01 03:30:00-06:00,0.48,196.93,2.61
2015-01-01 04:00:00-06:00,0.84,205.44,2.53
2015-01-01 04:30:00-06:00,0.66,201.34,2.19
2015-01-01 05:00:00-06:00,0.53,198.46,1.84
2015-01-01 05:30:00-06:00,0.49,213.70,1.78
2015-01-01 06:00:00-06:00,0.61,232.30,1.72
2015-01-01 06:30:00-06:00,0.61,240.87,1.75
2015-01-01 07:00:00-06:00,0.61,258.63,1.79
2015-01-01 07:30:00-06:00,0.73,257.37,1.86
2015-01-01 08:00:00-06:00,0.62,214.68,1.93
2015-01-01 08:30:00-06:00,0.58,218.85,2.15
2015-01-01 09:00:00-06:00,0.56,257.09,2.37
2015-01-01 09:30:00-06:00,0.69,287.78,2.45
2015-01-01 10:00:00-06:00,0.57,284.61,2.53
2015-01-01 10:30:00-06:00,0.64,286.03,2.51
2015-01-01 11:00:00-06:00,0.77,284.25,2.50
2015-01-01 11:30:00-06:00,0.57,282.54,2.58
2015-01-01 12:00:00-06:00,0.71,289.20,2.66
2015-01-01 12:30:00-06:00,0.60,331.63,2.73
2015-01-01 13:00:00-06:00,0.63,328.43,2.79
2015-01-01 13:30:00-06:00,0.63,316.20,3.11
2015-01-01 14:00:00-06:00,0.56,307.10,3.43
2015-01-01 14:30:00-06:00,0.52,308.40,3.71
2015-01-01 15:00:00-06:00,1.01,291.02,4.00
2015-01-01 15:30:00-06:00,0.52,281.69,4.00
2015-01-01 16:00:00-06:00,0.60,276.29,3.99
2015-01-01 16:30:00-06:00,0.66,285.33,4.06
2015-01-01 17:00:00-06:00,0.66,283.85,4.14
2015-01-01 17:30:00-06:00,0.75,308.46,4.03
2015-01-01 18:00:00-06:00,0.71,328.96,3.92
2015-01-01 18:30:00-06:00,0.95,330.18,3.67
2015-01-01 19:00:00-06:00,1.07,320.20,3.41
2015-01-01 19:30:00-06:00,1.01,302.31,3.42
2015-01-01 20:00:00-06:00,0.78,306.23,3.43
2015-01-01 20:30:00-06:00,0.72,307.48,3.45
2015-01-01 21:00:00-06:00,0.67,312.06,3.47
2015-01-01 21:30:00-06:00,1.02,311.80,3.71
2015-01-01 22:00:00-06:00,0.86,267.82,3.95
2015-01-01 22:30:00-06:00,0.55,263.45,3.99
2015-01-01 23:00:00-06:00,0.64,244.93,4.03
2015-01-01 23:30:00-06:00,0.57,240.63,4.01
2015-01-02 00:00:00-06:00,0.33,227.59,3.99
2015-01-02 00:30:00-06:00,0.38,189.73,3.98
2015-01-02 01:00:00-06:00,0.45,169.56,3.96
2015-01-02 01:30:00-06:00,0.53,169.55,3.90
2015-01-02 02:00:00-06:00,0.57,174.98,3.83
2015-01-02 02:30:00-06:00,0.55,179.29,3.71
2015-01-02 03:00:00-06:00,0.42,174.96,3.59
2015-01-02 03:30:00-06:00,0.44,174.65,3.54
2015-01-02 04:00:00-06:00,0.83,181.39,3.48
2015-01-02 04:30:00-06:00,0.57,189.19,3.50
2015-01-02 05:00:00-06:00,0.49,180.62,3.51
2015-01-02 05:30:00-06:00,0.49,171.30,3.46
2015-01-02 06:00:00-06:00,0.57,197.15,3.42
2015-01-02 06:30:00-06:00,0.61,244.18,3.45
2015-01-02 07:00:00-06:00,0.64,239.28,3.48
2015-01-02 07:30:00-06:00,0.61,239.83,3.56
2015-01-02 08:00:00-06:00,0.50,224.57,3.64
2015-01-02 08:30:00-06:00,0.46,231.66,3.89
2015-01-02 09:00:00-06:00,0.58,242.14,4.14
2015-01-02 09:30:00-06:00,0.46,239.54,4.51
2015-01-02 10:00:00-06:00,0.82,257.73,4.88
2015-01-02 10:30:00-06:00,0.79,272.53,5.08
2015-01-02 11:00:00-06:00,0.58,267.74,5.29
2015-01-02 11:30:00-06:00,0.68,286.75,5.59
2015-01-02 12:00:00-06:00,0.68,280.58,5.89
2015-01-02 12:30:00-06:00,0.60,274.51,6.08
2015-01-02 13:00:00-06:00,0.75,279.67,6.28
2015-01-02 13:30:00-06:00,0.43,296.77,6.23
2015-01-02 14:00:00-06:00,0.59,278.97,6.18
2015-01-02 14:30:00-06:00,0.61,256.79,6.17
2015-01-02 15:00:00-06:00,0.43,265.49,6.16
2015-01-02 15:30:00-06:00,0.44,269.30,6.06
2015-01-02 16:00:00-06:00,0.39,293.67,5.96
2015-01-02 16:30:00-06:00,0.39,284.30,5.83
2015-01-02 17:00:00-06:00,0.69,330.60,5.69
2015-01-02 17:30:00-06:00,0.77,338.59,5.54
2015-01-02 18:00:00-06:00,0.75,351.39,5.40
2015-01-02 18:30:00-06:00,0.81,345.37,5.10
2015-01-02 19:00:00-06:00,1.28,346.90,4.80
2015-01-02 19:30:00-06:00,1.11,331.35,4.79
2015-01-02 20:00:00-06:00,1.12,294.42,4.79
2015-01-02 20:30:00-06:00,0.96,286.87,4.50
2015-01-02 21:00:00-06:00,0.84,300.62,4.20
2015-01-02 21:30:00-06:00,0.85,285.99,4.13
2015-01-02 22:00:00-06:00,0.90,259.62,4.06
2015-01-02 22:30:00-06:00,0.84,239.25,4.06
2015-01-02 23:00:00-06:00,0.59,215.83,4.06
2015-01-02 23:30:00-06:00,0.45,201.07,4.14
2015-01-03 00:00:00-06:00,0.36,187.70,4.23
2015-01-03 00:30:00-06:00,0.33,177.41,4.21
2015-01-03 01:00:00-06:00,0.60,158.35,4.19
2015-01-03 01:30:00-06:00,0.66,173.60,4.17
2015-01-03 02:00:00-06:00,0.67,171.95,4.15
2015-01-03 02:30:00-06:00,0.58,159.36,4.27
2015-01-03 03:00:00-06:00,0.31,178.11,4.38
2015-01-03 03:30:00-06:00,0.39,163.59,4.40
