Time,Timestamp,Load in kW (Single-household),Load in kW (Office)
Mon Aug  1 00:00:00 2016,1470002400.0,1.4133333333333333,373.6566666666666
Mon Aug  1 00:30:00 2016,1470004200.0,1.145,357.3283333333333
Mon Aug  1 01:00:00 2016,1470006000.0,0.9133333333333332,339.125
Mon Aug  1 01:30:00 2016,1470007800.0,1.3266666666666667,303.685
Mon Aug  1 02:00:00 2016,1470009600.0,0.8183333333333334,317.3683333333333
Mon Aug  1 02:30:00 2016,1470011400.0,1.2683333333333333,295.2566666666666
Mon Aug  1 03:00:00 2016,1470013200.0,0.7916666666666666,282.70166666666665
Mon Aug  1 03:30:00 2016,1470015000.0,0.9216666666666665,265.9483333333333
Mon Aug  1 04:00:00 2016,1470016800.0,1.2066666666666668,279.305
Mon Aug  1 04:30:00 2016,1470018600.0,0.98,263.9516666666667
Mon Aug  1 05:00:00 2016,1470020400.0,0.8466666666666667,245.80500000000004
Mon Aug  1 05:30:00 2016,1470022200.0,1.3033333333333335,259.05333333333334
Mon Aug  1 06:00:00 2016,1470024000.0,0.9866666666666667,265.8983333333333
Mon Aug  1 06:30:00 2016,1470025800.0,0.96,253.97
Mon Aug  1 07:00:00 2016,1470027600.0,0.6583333333333333,245.5633333333333
Mon Aug  1 07:30:00 2016,1470029400.0,0.8166666666666665,253.59833333333333
Mon Aug  1 08:00:00 2016,1470031200.0,1.0050000000000001,271.4733333333333
Mon Aug  1 08:30:00 2016,1470033000.0,1.0916666666666668,278.32666666666665
Mon Aug  1 09:00:00 2016,1470034800.0,1.5350000000000001,301.215
Mon Aug  1 09:30:00 2016,1470036600.0,2.063333333333333,340.57
Mon Aug  1 10:00:00 2016,1470038400.0,1.7866666666666668,362.63166666666666
Mon Aug  1 10:30:00 2016,1470040200.0,1.6883333333333332,395.72499999999997
Mon Aug  1 11:00:00 2016,1470042000.0,2.3866666666666667,415.1133333333334
Mon Aug  1 11:30:00 2016,1470043800.0,2.6216666666666666,443.51666666666665
Mon Aug  1 12:00:00 2016,1470045600.0,2.1433333333333335,468.17333333333335
Mon Aug  1 12:30:00 2016,1470047400.0,2.558333333333333,490.905
Mon Aug  1 13:00:00 2016,1470049200.0,2.861666666666667,520.31
Mon Aug  1 13:30:00 2016,1470051000.0,3.0133333333333336,544.3199999999999
Mon Aug  1 14:00:00 2016,1470052800.0,3.348333333333333,582.4616666666667
Mon Aug  1 14:30:00 2016,1470054600.0,2.97,605.3533333333334
Mon Aug  1 15:00:00 2016,1470056400.0,3.785,631.3083333333334
Mon Aug  1 15:30:00 2016,1470058200.0,3.1816666666666666,638.9333333333333
Mon Aug  1 16:00:00 2016,1470060000.0,3.5533333333333332,662.7733333333333
Mon Aug  1 16:30:00 2016,1470061800.0,3.6733333333333325,696.61
Mon Aug  1 17:00:00 2016,1470063600.0,3.3233333333333337,748.4433333333333
Mon Aug  1 17:30:00 2016,1470065400.0,3.658333333333333,729.9733333333334
Mon Aug  1 18:00:00 2016,1470067200.0,3.063333333333333,715.2666666666668
Mon Aug  1 18:30:00 2016,1470069000.0,2.765,694.1133333333333
Mon Aug  1 19:00:00 2016,1470070800.0,3.2266666666666666,677.6833333333334
Mon Aug  1 19:30:00 2016,1470072600.0,2.445,650.8116666666667
Mon Aug  1 20:00:00 2016,1470074400.0,2.0916666666666663,633.3133333333334
Mon Aug  1 20:30:00 2016,1470076200.0,2.67,591.6
Mon Aug  1 21:00:00 2016,1470078000.0,2.1966666666666668,618.6866666666666
Mon Aug  1 21:30:00 2016,1470079800.0,1.745,564.2966666666667
Mon Aug  1 22:00:00 2016,1470081600.0,1.9616666666666667,522.3183333333333
Mon Aug  1 22:30:00 2016,1470083400.0,1.505,480.9316666666666
Mon Aug  1 23:00:00 2016,1470085200.0,0.965,445.135
Mon Aug  1 23:30:00 2016,1470087000.0,1.3483333333333334,415.065
